#;Time;RL points;Agent name;Learning type;Won Episode;Low health threshold;Critical low health threshold;Walk speed;Run speed;Sight range;Hear range;Attack range
1;16.12.2021 15:32:41;-4550,277;Jack;Self play;Draw;50;11;8;11;30;20;12
2;16.12.2021 15:32:41;-4629,098;Madox;Self play;Draw;50;10;8;8;36;20;18
3;16.12.2021 15:34:27;-4298,41;Jack;Self play;Draw;40;8;5;8;30;20;10
4;16.12.2021 15:34:27;-4311,609;Madox;Self play;Draw;40;8;5;8;30;20;10
5;16.12.2021 15:34:57;-1398,161;Madox;Self play;Fail;40;8;5;8;30;20;10
6;16.12.2021 15:34:57;-993,7694;Jack;Self play;Win;40;8;5;8;30;20;10
7;16.12.2021 15:36:47;-4389,549;Jack;Self play;Draw;40;8;5;8;30;20;10
8;16.12.2021 15:36:47;-4265,886;Madox;Self play;Draw;40;8;5;8;30;20;10
9;16.12.2021 15:38:31;-4780,719;Jack;Self play;Draw;40;8;5;8;30;20;10
10;16.12.2021 15:38:31;-4747,298;Madox;Self play;Draw;40;8;5;8;30;20;10
11;16.12.2021 15:38:58;-1228,69;Madox;Self play;Fail;40;8;5;8;30;20;10
12;16.12.2021 15:38:58;-771,3883;Jack;Self play;Win;40;8;5;8;30;20;10
13;16.12.2021 15:40:42;-4610,24;Jack;Self play;Draw;40;8;5;8;30;20;10
14;16.12.2021 15:40:42;-4707,989;Madox;Self play;Draw;40;8;5;8;30;20;10
15;16.12.2021 15:42:27;-4327,727;Jack;Self play;Draw;40;8;5;8;30;20;10
16;16.12.2021 15:42:27;-4416,357;Madox;Self play;Draw;40;8;5;8;30;20;10
17;16.12.2021 15:44:10;-4375,15;Jack;Self play;Draw;40;8;5;8;30;20;10
18;16.12.2021 15:44:10;-4109,608;Madox;Self play;Draw;40;8;5;8;30;20;10
19;16.12.2021 15:45:55;-4108,507;Jack;Self play;Draw;40;8;5;8;30;20;10
20;16.12.2021 15:45:55;-4033,024;Madox;Self play;Draw;40;8;5;8;30;20;10
21;16.12.2021 15:47:37;-4252,075;Jack;Self play;Draw;40;8;5;8;30;20;10
22;16.12.2021 15:47:37;-4318,808;Madox;Self play;Draw;40;8;5;8;30;20;10
23;16.12.2021 15:49:19;-4117,106;Jack;Self play;Draw;40;8;5;8;30;20;10
24;16.12.2021 15:49:19;-4200,385;Madox;Self play;Draw;40;8;5;8;30;20;10
25;16.12.2021 15:49:45;-685,8957;Madox;Self play;Win;40;8;5;8;30;20;10
26;16.12.2021 15:49:45;-1042,598;Jack;Self play;Fail;40;8;5;8;30;20;10
27;16.12.2021 15:51:28;-4098,901;Jack;Self play;Draw;40;8;5;8;30;20;10
28;16.12.2021 15:51:28;-4179,287;Madox;Self play;Draw;40;8;5;8;30;20;10
29;16.12.2021 15:53:11;-4179,396;Jack;Self play;Draw;40;8;5;8;30;20;10
30;16.12.2021 15:53:11;-4133,404;Madox;Self play;Draw;40;8;5;8;30;20;10
31;16.12.2021 15:54:53;-4116,798;Jack;Self play;Draw;40;8;5;8;30;20;10
32;16.12.2021 15:54:53;-4002,534;Madox;Self play;Draw;40;8;5;8;30;20;10
33;16.12.2021 15:56:45;-4042,178;Jack;Self play;Draw;40;8;5;8;30;20;10
34;16.12.2021 15:56:45;-3699,862;Madox;Self play;Draw;40;8;5;8;30;20;10
35;16.12.2021 15:58:40;-3642,726;Jack;Self play;Draw;40;8;5;8;30;20;10
36;16.12.2021 15:58:40;-3582,14;Madox;Self play;Draw;40;8;5;8;30;20;10
37;16.12.2021 15:58:58;-714,3967;Madox;Self play;Fail;40;8;5;8;30;20;10
38;16.12.2021 15:58:58;-389,9963;Jack;Self play;Win;40;8;5;8;30;20;10
39;19.12.2021 22:53:25;-710,7899;Madox;Self play;Fail;40;8;5;8;30;20;10
40;19.12.2021 22:53:25;-347,7885;Jack;Self play;Win;40;8;5;8;30;20;10
